LOCATION_TYPE|NOISE_LEVEL|BRIGHTNESS_LEVEL|NEIGHBOR_JUDGEMENT|CALLER_EXPECTATION|URGENCY|CLASS
PARTY|7|3|Loud|MUST_RECEIVE|URGENT|Loud
PARTY|8|7|Loud|SHOULD_RECEIVE|CASUAL|Loud
MEETING|5|7|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
CLASSROOM|4|9|Loud|MUST_RECEIVE|URGENT|Loud
LIBRARY|2|9|Vibrate|SHOULD_RECEIVE|CASUAL|Silent
PARTY|10|3|Vibrate|MUST_RECEIVE|URGENT|Loud
PARTY|7|7|Loud|SHOULD_RECEIVE|URGENT|Loud
PARTY|10|3|Vibrate|SHOULD_RECEIVE|URGENT|Loud
LIBRARY|2|9|Vibrate|SHOULD_RECEIVE|URGENT|Silent
CLASSROOM|4|9|Vibrate|MUST_RECEIVE|URGENT|Vibrate
LAB|3|8|Vibrate|SHOULD_RECEIVE|CASUAL|Vibrate
LAB|3|8|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
MEETING|5|7|Vibrate|MUST_RECEIVE|URGENT|Vibrate
LAB|3|8|Vibrate|MUST_RECEIVE|URGENT|Vibrate
MEETING|5|5|Vibrate|SHOULD_RECEIVE|CASUAL|Silent
LAB|3|8|Vibrate|SHOULD_RECEIVE|URGENT|Vibrate
MEETING|5|7|Vibrate|SHOULD_RECEIVE|CASUAL|Vibrate
MEETING|5|5|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
PARTY|10|3|Vibrate|SHOULD_RECEIVE|CASUAL|Vibrate
CLASSROOM|4|9|Vibrate|SHOULD_RECEIVE|CASUAL|Silent
CLASSROOM|4|9|Vibrate|SHOULD_RECEIVE|URGENT|Vibrate
MEETING|5|7|Vibrate|SHOULD_RECEIVE|URGENT|Vibrate
LIBRARY|2|9|Vibrate|MUST_RECEIVE|URGENT|Silent
CLASSROOM|4|9|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
PARTY|10|3|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
MEETING|5|5|Vibrate|SHOULD_RECEIVE|URGENT|Loud
MEETING|5|5|Vibrate|MUST_RECEIVE|URGENT|Vibrate
